Summary,Dominant Topic
"hit el rucio mountain 6,200 ft. obscured clouds . lack cockpit discipline . instruments excessively low altitude .",9
field shortly taking .,0
"lost altitude takeoff house . failed climb reasons unknown . 's slight loss altitude soon take main cause accident . explanation loss altitude . orchestra opera conductor guido cantelli , 36 , among killed .",2
"struck silla caracas mountain 6,700 approaching land maiquetia . navigation error . pilot follow prescribed approach procedures . st. louis cardinal outfielder , charlie peete , 27 , killed .",9
"starboard engine failed shortly takoff crash quetame hill , 25km northwest santa cecilia airport . complete failure starboard engine due breakdown lubricating system . recklessness pilot taking closed airport aware poor weather conditions . also overloaded .",3
"departed vancouver calgary . 50 minutes later pilot reported fire . 2 engine turning back . flying power 3 engines , encountered severe icing , turbulence difficulty led loss control crew . could determined 12 south assigned airway . high mount slesse . bodies wreckage found 05/10/1957 wreckage still remains site memorial .",7
steep angle attack .,9
"co-pilot acting pilot-in-command instruction captain began descent land hit ground , left wing first . wings detached fuselage slid 1,200 .",8
strayed assigned airway hit mountain . pilot follow airways assigned plan . check direction position along new .,1
burned attempting land .,1
"struck trees , hit ground , slid ft. landing short runway rapidly deteriorating condtions . captain 's lack alertness allowing first officer continue instrument descent altitude low permit terrain clearance .",8
domestiflight burned immediately takeoff buenos aires overrunning runway . short runway excessive cross-winds type .,7
"hit concepcion volcano . made left turn towards volcano , banked sharply descent , enered rapid climb . unexplained loss control .",9
"first ils attempt land orly airport failed . crew decided try second time gca guidance . full power applied crew able see runway . continued descend impacting ground right bank . right wing separated main fuselage broke-up four parts . stalling , result delayed application power final approach configuration inadequate control heading , airspeed altitude visual lost .",9
"midair collision dc-7 f-89j air force fighter . dc-7 playground school killing 3 junior high school children 3 northwest sunland . f-89 mountains . four crew members dc-7 killed . one crew member aboard f-89 killed ejected safety . high rate near head-on closure high altitude , together physiological limitations , resulted minimum avoidance opportunity pilots n't see 's . first test dc-7b . one 3 students killed accident best friend singer richie valens , died airplane crash two years later . archie twitchell , test pilot actor , 50 , killed . high rate near head-on closure high altitude minimum aviodance opportunity pilots see .",3
"shortly lifting la guardia airport snowstorm , rolled sharply left rikers island . failure captain properly observe interpret instruments maintain control . several inmates rikers island prison made heroirescues later pardoned .",3
". 3 engine seized , causing propellor come loose slice side fuselage makng two full turns exiting . took two men , idled . 4 engine cut throttle cable . attempting emergency return landing kimpo air base , level could maintained descended , crashing han river .",0
"densly wooded mountain , 3 east blyn , seattle . navigation error poor judgement pilot entering overcast mountainous area low altitude .",3
trees farm buildings half-an-hour taking abingdon airfield . fuel starvation due valve installed backwards .,3
pilot follow prescribed follow prescribed ifr procedures .,4
suddenly veered banked right making approach land . houses . fracture 9/16 ' bolt starboard flap due fatigue led loss control .,9
"taken cebu bound manila 20 nw city . president ramon magsaysay , 50 , philippines died along twenty-three others struck . manunggal . magsaysay campaigning trip reelection . metal fatigue .",9
andies peak . wreckage found 100 northeast cochabamba .,7
"disappeared southeast tokyo , japan travis air force base tokyo . cause unknown .",8
"shortly takeoff , fire developed left main landing gear well . pilot thought fire started engine , feathered no.1 engine returned emergency landing . could n't get gear , performed go-around left wing separated . burned . fracture fuel line landing gear housing due wear ribs .",3
"takeoff , one mile airfield . engine failure .",3
", fire broke starboard engine . lost altitude reduced visibility , pilot see peak mountain . tried pull stalled . engine failure .",3
accident due maneuvering error consisted making two turns onto mexico city heading without conforming distance procedure specifications prescribed altitudes speeds . error aggravated probable shifting load due improper securing .,9
burned 5 minutes taking aqaba . lost 's left wing encountering clear air turbulence .,7
"explosive decompression . passenger sucked window 18,000 window sitting next shattered . body never recovered .",5
attemting emergency return airport shortly taking . engine failure . failure captain maintain height safe flying speed approaching land one engine failure left engine reasons unknown .,3
"accident attributed insufficient altitude flown attempt fly thunderstorm . downdrafts divergent winds encountered , forced ground .",3
attemping land . procedural errors pilot .,3
"pilot lost rain fog searched landing area ran fuel 4,500 foot mountain .",2
ice cap . white-out conditions . incorrect indication navigation charts .,9
"training exercise approached stall entered spin , partially recovered .",9
descended safe altitude struck ground rain poor visibility . crew 's application approach procedure prescribed airport authority .,1
"stalling following loss airspeed , whereupon unintentionally went spin . view insufficient altitude , possible level .",3
"loss airspeed executing maneuvers training , resulting stall followed immediately spin altitude low effect recovery .",9
attempting emergency landing taking control difficulties . jammed elevator . crew forgot remove ground locks .,3
onto tidal flats charlakhi island storm .,6
"pilot asked clearance make low pass mokmer give passengers final glimpse island . gradually descended , , burst flames , broke apart sank . crew properly monitor altitude .",9
"landed safely dynamite bomb exploded rear lavatory . passenger , saul f. binstock , 62 , retired north hollywood jeweler , intent suicide , detonated bomb rear lavoratory blowing 6 x 7 ft. hole fuselage . binstock purchased two insurance policies totaling $ 125,000 flew burbank las vegas , airport personnel mccarran field reported never left airport terminal . boarded western airlines bound los angeles locked rear lavatory shortly takeoff . binstock ’ body , missing several fingers left hand , found next day rugged peak ord mountains south daggett .",1
"reykjavík montreal , canada flying 6,000 ft. entered thunderstorm . subsequently plunged earth almost vertically speed calculated 230 mph , bursting flames . severe turbulence encountered flying cumulonimbus cloud , resulting chain events quickly leading complete loss control .",9
harbor hitting chimney factory .,9
making sharp turn stalled .,9
takeoff .,1
strayed course collided mountain penas blancas hills . pilot error . weather 's influence radio communications . leaving prescribed flying low altitude .,1
struck trees right short runway approach fog . pilot attempted make visual approach descending prematurely approach area without adherence prescribed ils approach procedure dictated existing weather conditions .,8
"flying vfr , encountered fog approach , undershot runway . pilot error .",1
"pilot appreciate air ambulance rapidly lost height whilst making visual half circuit land . could due absence sufficient visual reference prevailing conditions darkness , low cloud drizzle . urgent nature considered influenced pilot 's decision land .",6
ocean takeoff .,2
"attempting land belfast , poor weather , drifted right runway , overshot runway . cause unknown .",1
"intense fire no.1 engine , caused foreign objects entering nacelle .",5
.,7
training . right wing suddenly dropped went steeply banked right hand turn . instrument failure leading loss control . undetermined cause . possible failure auto-pilot .,9
"disappeared mid-way san francisco honolulu . wreckage found 940 ne honolulu 5 days later . officially , cause never determined . possible in-flight fire . high levels carbon monoxide found 19 bodies recovered , though could resulted exposure seawater . named 'clipper romance skies . '",7
"hit mountain 1,500 approach pilot turned wrong way . weather rain turbulence . pilot error .",1
face quarry chessel brook isle wight . last message transmitted 'no . 4 engine feathered . coming back hurry . ' electrical failure accidental cut-off fuel actuator circuit . 3 . 4 engines .,9
lost wing farmlands . in-flight structural fatigue failure starboard front lower spar boom .,7
storm . left wing detached extreme turbulence . pilot descending track well minimum safety altitude established type operation . absence plan forecast showing intensity meteorological phenomena encountered . inadequate operational dispatch .,3
taking stalled hit trees . uncontrollable stall low altitude resulted abrupt steep climb immediately takeoff . contributing factors improper loading prevailing gusty wind relatively high ambient temperature .,7
crash landed short runway third landing attempt . accident due error part captain making attempt land continued approach critical height without sufficient visual reference ground .,3
"lost power simulated emergency maneuver struck water descending altitude 1,000 ft. one crew moved emergency shut-off lever wrong direction depriving four engines fuel supply . hit water broke two . ruled check pilot failed initiate remedial action began lose altitude failed exercise authority real emergency developed .",8
flying boat sank buenos aires harbor trying make emergency landing losing engine .,3
lost . 1 engine takeoff .,1
mountainous terrain .,7
abandoned takeoff engine failed . unable stop slid runway striking rocks catching fire . failure . 4 engine . malfunctioning starboard brakes .,3
shortly taking . improper observation interpretation instruments . captain properly observe interpret instruments thus inadvertently permitted descend ground immediately night takeoff visual reference possible .,3
"two collided altitude 3,000 scattering wreckage residential business area suburban los angeles . c-118 taken long beach municipal airport transcontinental p2v instrument training exercise . 41 killed c-118a , six p2v one woman ground hit debris outside house . pilot error , pilots .",3
"takeoff snowstorm . never lifted runway , barrier fence house . german inquiry accident concluded accumulation ice wings cause accident . english inquiry disagreed , stating drag , due slush runway cause accident . eight members manchester united football ( soccer ) team killed . named 'the elizabethan . '",3
struck water sank right wing tip float contacted water shallow turn final approach .,9
disappeared patrol 100 azores . trace ever found .,3
mountain near winter hill approach . first officer used wrong radio beacon ( oldham becaon instead wigan beacon ) .,7
collided descending holding pattern attempting land naha air base . failure ad-6 pilot maintain position . one killed aboard ad-6 . poor judgement part r4q commander .,1
"approaching cairo , diverted port said ditched menzalah lake .",9
"went 35 sw grants , new mexico . fog , snow thunderstorms reported area . film director , producer mike todd , 49 , husband elizabeth taylor , killed . elizabeth taylor , planned go trip husband , remained home , ill bronchitis . named 'the lucky liz . '",3
"due navigational error flew wrong valley . maneuvering make turn , stalled . wreckage found 16 kathmandu .",9
2 minutes takeoff trying return airport reporting fire . 3 engine . failure captain maintain altitude emergency return airport due undue preoccupation engine fire following takeoff .,3
"collided midair cruising 6,000 ft. farmlands killing aboard . pilot 49-195a flying wrong altitude .",4
"stalled corn field , 300 short runway , making landing attempt tri-city airport restricted visibility rain snow . struck ground nose first , flipped broke apart . icing horizontal stabilizer leading loss pitch control .",9
flew mountain 15 minutes leaving guayaquil . procedural error . pilot maintain ifr clear cloud cover .,1
ocean sudden avoidance manuver . atc error . another permitted takeoff without exact position known .,3
"dc-7 los angeles denver flying 21,000 ft. military jet training mission conducted vfr . fighter initiated evasive maneuver prior colliding airliner . trainee instructor aboard f-100 killed along forty-seven aboard dc-7 airliner . high rate near head-on closure high altitude , human cockpit limitations failure nellis air force base civil aeronautics administration take measures reduce known collision exposure training exercises allowed conducted within confines several airways numerous close calls military jets reported airline crews year prior tragedy .",8
"developed trouble . 1 engine lisbon leopoldville . attempting land poor visibility 3 engines , stalled 80 ft. ground building burst flames . pre-crash damage . 1 engine . error judgment pilot reapplication power neither appropriate configuration sufficient speed carry attempted safety maneuver .",8
"midair collision 8,000 ft. , four ene brunswick . failure t-33a pilot exercise proper see avoid procedure avoid traffic . one aboard t-33 ejected safely , aboard viscount killed .",1
fire fligth caused failure . 1 engine . ensuing forced landing rough terrain broke consumed fire .,7
mountains 100 southwest algiers .,7
.,7
"hard landing heavy rain gusty winds manila caused collapse right main landing gear . prop broke . 3 engine , penetrated cabin killed one passenger . named 'clipper golden gate . '",3
la latilla mountain 13 km west guadalajara . climb accordance approved procedures .,2
"following trainee-pilot 's failure maintain minimum-control speed attempted go-around , instructor-pilot failed take control sufficient time prevent critical loss altitude . contributing factor malfunction landing gear latch delayed retraction landing gear caused distraction instructor-pilot several seconds critical period go-around .",3
approach encountering downdraft . missed runway collided tree . windshear .,1
manoeuvring low height mountainous terrain supply dropping mission port wing grazed side hill thus causing slew crash . contributory factor might mismanagement fuel system caused temporary loss engine power height .,2
"attempting break transatlantiflight record . heavily loaded fuel , pilots failed detect gone slight descent shortly becoming airborne . struck power lines near massachusetts turnpike . dead included six journalists .",9
structural failure air .,3
high ground approach . misinterpreted misread altimeter reading . possible fatigue .,9
ditched near izu island appoximately 1 hour taking experiencing engine trouble .,3
approach . cause unknown .,1
"shannon gander , newfoundland . possible overspeeding outer propeller .",1
"1,450 short runway approach . poor judgement technique pilot approach poor weather conditions .",1
stalled flying thunderstorm . climbed excess operational ceiling considering weight .,3
shot soviet mig fighters .,8
lost engine initial climb able maintain altitude .,9
35 west agana naval air station . in-flight fire unknown origin .,3
second landing attempt . improper approach procedure . incorrect forcast provided crew .,9
"vfr conditions two boeing b-52 stratofortress bombers approached runway time . two rammed 900 ground . eight 9 aboard 56-661 killed . five 7 aboard 56-681 killed . operator error , pilots failed maintain safe separation vfr conditions .",4
mount oyama 15 southwest tokyo .,2
midair collision .,4
disappeared mediterranean never found .,7
exploded flat terrain easts payette . loss control incapacitation one pilots may factored accident .,3
alto del cedro mountain . premature descent . navigation error . lack navigation facilities area .,7
mountain .,7
"peking moscow fl330 went control . experienced extreme turbulence climb , stalled plunged earth burned . captain described everything happened attempted recover uncontrolled descent , ending radio transmission farewell .",3
"1,000 short argentia , nas runway .",9
midair collision italian air force f-86 . airliner drifted course . neither pilot saw collided .,7
"hijacked 4 cuban rebels , running fuel attempting land preston airport .",0
"dc-3 fly yemenite secretary foreign affairs rome belgrade . western slopes mount porretta elevation 2,690 due navagation error . pilot error .",2
missing cabo ruivo funchal north atlantiafter transmitting emergency message positioning 36 degrees 40 minutes n 12 degrees w .,6
"lost engine enroute . icing , turbulence .",3
la rodilla la mujer muerta approach madrid . loss control due icing turbulence .,8
descending struck ground heavy fog .,7
"took heavy thunderstorms , able maintain height airspeed ground . struck ground shortly takeoff result uncontrollable loss airspeed height due sudden squall accompanying onset thunderstorm .",1
takeoff no.1 engine failed . pilot error . pilot 's incorrect handling controls .,1
swerved runway taking struck structure .,3
. pena blanca . pilot 's attempt fly mountainous terrain visual reference ground weather conditions restricting visibility forced descend dangerously low altitude .,7
"struck mountain ils approach tri-city airport . pilot 's failure identify intersection properly , resulting flying 15 beyond outer marker descending alititude low clear high terrain . inoperative compass entered log .",9
"descended guanabara bay rain , struck water nosewheel flecheiras beach , short runway . descent minima reasons unknown . crew fatigue possible .",1
panther peak .,7
"overshot runway missed approach procedure initiated . gradually descended ocean offshore . pilot familiar airport miscalculated instrument approach procedure . pilot 's temporarily confused mental state found critical situation , effectuating capability skill .",9
", flying vfr ran cloud covered el callejon pass 7,000 . made 180deg turn la culata peak altitude 13,500 . flying insufficient altitude area apparently unfamiliar pilot .",7
struck trees approach 2.8 northwest wadi-es-sir . adverse weather conditions .,7
"overran runway taking , cashed burst flames . windshear .",1
hill attempting emergency landing experiencing icing . captain 's poor judgment continuing known dangerous icing conditions .,3
"buddy holly chartered fly fargo appearing part winter dance party tour clearlake , iowa . j.p. 'the big bopper ' richardson , suffering flu , talked waylon jenning giving seat . ricthie valens coin-toss went place tommy allsup . commented ' never anything life ' winning coin-toss . took deteriorating weather conditions . pilot , roger peterson , certified fly ifr . wreckage found next morning snowy meadow , 5 nw airport . hit ground high rate speed singers ritchie valens , 17 , buddy holly , 22 , jiles p. 'the big bopper ' richardson , 28 , well pilot , killed instantly . appeared , pilot became disoriented flew ground . officially : pilot 's decision undertake likelihood encountering ifr conditions existed , certified fly ifr . also , deficiencies weather briefing pilot 's unfamiliarity instrument determines attitude . later years , story appeared iowa globe gazette pilot , al potter , flying vicinity night , claimed contact shortly . potter stated pilot radioed taken ice losing power .",9
"attempting land rain fog la guardia airport , descended minimum altitude east river . struck water shallow descent 150 mph landing gear flaps extended . primarily crash resulted failure crew properly monitor essential instruments determining attitude due preoccupation particular aspects environment . limited experience crew particular type . erroneous setting captain 's altimeter . possibly misinterpretation altimeter rate descent indicator .",3
"approach , jet lost wings engines torn ploughed 300 yards woods landed upside trees embedded mangled fuselage burst flames . diverted gatwick fog london . cause unknown .",0
overloaded could maintain altitude losing engine . attempting emergency landing .,3
"shortly takeoff , 2.5 beirut airport . navigation error . possible in-flight fire . 1 engine induced pilot start fire emergency action resulting reduction rate turn rate climb .",9
"shortly takeoff , inverted , trees . failure . 1 engine climbout . non-retraction landing gear immediately reached v2 . failure engine . 2 seconds later . banked left , lost altitude collided trees . engine failure cause unknown .",3
attempt pilot clear high terrain poor visibility conditions . previously descended low altitude order determine position .,3
"banked right soon leaving ground ground . strong gust wind tilted right final approach land , causing crash ground",9
jungle .,1
sustained structural failure flying thunderstorm .,3
lost control fire broke hold .,3
exlpoded caught fire near bahia kino . bomb believed exploded onboard .,3
", flying instruments , drifted north normal track strong winds . suphan . winds stronger forecast . accurate bearing could obtained mus van checked . sub-normal temperatures would result high indicated altimeter reading . calculations contacts beacons coordinated controlled .",3
"east slopes sierra valdemeca diverted due poor weather . joaquin blume , spain 's european gymnastics champion , killed . unfavorable weather made necessary deviate planned .",9
"two minutes reporting 3,000feet struck alfabia peak 3,300 . insufficient altitude flying normal climb power .",7
"pilot intentionally ground looped , slid steep embankment caught fire burned . landing fast wet runway conditions conductive aquaplaning .",3
"disintegrated in-flight due severe turbulence penetrating thunderstorm . icing . farmhand observed large chuck ice fall seconds crash . second crash involving capital airlines occurred charleston , wv day .",3
hillside .,7
steep turn following takeoff night . undetermined cause .,3
mountain ..,6
", carrying nicaraguan rebels shot nicaraguan air force fighter .",8
cerro baco mountain .,6
"flying athens chicago , . 6 7 fuel tanks right wing exploded storm . ignition gasoline vapors emanating fuel tank vent pipes statidischarge airliner hit lightning .",9
"pilot ejected parachuted safely engine caught fire became uncontrollable . miyamori primary school compound surrounding neighborhood killing 17 , 11 students , injuring another 181. subsequent fire aftermath crash another 158 persons ( 28 families ) made homeless .",3
. navigational error . pilot entered wrong valley stalled fully loaded attempting turn back .,9
"trainee captain attempted maneuver disregard prescribed limitations maneuver . two-engine overshoot attempted low height prescribed minimum speed , committed landing . resulted violent yaw sharp drop could controlled . training captain conversant minimum requirements two-engine overshoot viscount 815 appears overestimated performance .",3
crew failed recognize correct development excessive yaw caused unintentional rolling maneuver altitude low permit complete recovery .,6
"nineteen minutes taking climbing , entered cloud struck . monseny . pilot follow prescribed regulations .",0
descended mda 5 short runway approach asuncion . pilot error .,9
"took , rose ft. , stalled . elevator control lost . aft link assembly became disconnected clevis elevator control horn assembly improperly secured bolt backed .",9
"in-flight explosion occurred passenger cabin . male passenger , believed carrying bomb , fell airplane altitude 11,000ft . forced landing made poza rica fire broke cabin .",2
"shortly taking , deviated 's intended course struck mountain , reasons unknown .",1
minutes taking sao paulo airport . cause undetermined .,7
"shortly takeoff , gaining altitude colliding trees . crew properly monitor altimeter .",9
mountain approach adak . improper approach . crew error . pilot fly accordance visual rules hazardous terrain .,9
"in-flight separation left wing resulted crashing 3 southeast buffalo , texas . design flaw caused oscillation known mode transfer propeller wobble outboard nacelles induced flutter wing led separation wing . one two accidents cause . see 3/17/1960 .",3
"moments rotation left engine exploded caught fire . elevator hit 12,000 volt powerline crash landed upright sliding 65 . fatality first officer thrown clear accident still strapped seat . number 5 cylinder left engine failed leading explosion deformed left engine 's ring cowl degree cause excessive drag buffeting made sustained impossible . maintenance records showed engine troubling number oil leaks .",3
engine failure takeoff . 5 minutes later . failure gudgeon pin bearing no.6 piston left engine .,3
bucks elbow mountain ils approach charlottesville airport . navigational omission resulting course approach . took thirty-six hours lone survivor rescued . navigational omission resulted lateral course error detected corrected precision instrument flying procedures . mental breakdown captain .,0
exploded midair engine fire .,2
"gulf mexico 29 degrees 13 minutes n , 88 degrees 40 minutes w 108 east-southeast new orleans , tampa new orleans . sabotage ( explosion bomb aboard ) strongly suspected could never proven due lack physical evidence . possibility connection crash national airlines crash january 6 , 1960. one charged either case .",3
approach .,8
"shortly taking experienced fire warning . 2 engine , shut attempted return midway airport . final approach banked excess 45 degrees developed excessive sink rate . reached tops trees wings nearly level nose raised climbing attitude descent continued one quarter mile southeast airport . accident consequence manuvering turn final approach manner cause rate sink recovery possible . sometime turn flaps retracted 60 % 24 % causing loss lift .",8
"bald eagle mountain,13 south williamsport , ils approach williamsport . probable accidental caging fluxgate compass leading erroneous heading indication . captain 's failure execute timely abandoned approach . one passenger survived .",7
disappeared . right landing gear found moron island . cause undetermined .,3
mountain .,7
cashed reporting engine trouble .,3
hanger practice landing . accident attributed balked landing maneuver carried speed limits safe directional control critical situation developed last phase landing course simulated emergency exercise two power units inoperative .,3
"midair collision brazilian air force at-6 harvard , shortly takeoff . one killed fighter . failure pilots see avoid .",1
"shortly takeoff lost . 2 engine , tried return airport . failure right engine , lack precaution part captain marginal weather . contributing factor may overloaded condition , however , extent forced descend dangerously low altitude .",3
takeoff .,1
"dropping supplies making narrow turn valley . accident attributed error navigation caused pilot enter wrong valley . attempt turn back restricted area , stalled .",9
"disintegrated 18,000 1.5 northwest bolivia , north carolina . detonation dynamite bomb means dry cell batteries , vicinity row 7 , passenger cabin . continued fly short time fuselage came apart ball flames . julian frank , purchased 1 million dollars insurance , suspected committing suicide detonating bomb lap seat . possibility frank may unwitting bomb carrier bombing something national airlines crash november , 16 , 1959. one charged either case .",3
"missing , never found .",7
"burned wooded area , striking ground level attitude . delayed arming engine ice-protection systems flying icing conditions , causing eventual flame-out four engines . condition existed sufficient time cause drop battery electrical energy , preventing unfeathering relighting sufficient engines maintain . dived effort attain sufficient airspeed drive propellers feathered positions wind-milling . time , multiple attempts made relight one engines . successful relights either interrupted auto-feather action initiated premature advancing throttles prior complete light engine prevented insufficient battery electrical energy . . 4 engine eventually relit crew successfully relit . 3 engine .",3
"istanbul ankara , turkey approach esenboga airport , 6 nm short runway . struck ground elevation 3,500 , ankara mountain range airport . unintentional descent authorized minimum altitude final approach esenboga airport reasons could determined . named orm viking .",9
heavy landing led structural failure fire . adoption final approach path resulting heavy landing major structural failure occurred port wing . crew fatigue . lack proper training .,9
radio contact lost ocean . poor weather . unqualified pilot .,2
15 minutes taking . engine fire .,2
"midair collision dc-3 us navy r-6d . improper piloting procedures flying authorized instrument ( us navy pilot ) . pilot usn disobeyed instructions transmitted approach control . u.s. navy disagreed placed blame neither pilot . twenty six killed dc-3 , 35 r-6d-1 . members united states navy band among killed .",9
lost altitude shortly taking . cause unknown .,7
approach .,1
.,7
mid-air collision japan air self defence force f-86 fighter taking nagoya . planes f-86 pilot ejected safely .,1
in-flight separation wing . design flaw caused oscillation known whirl mode transfer propeller wobble outboard nacelles induced flutter wing led separation wing . reduced stiffness structure entry area severe clear air turbulence contributing factors . one two crashes cause . see 9/29/59 .,7
"forced landing engine failure . accident attributed error judgment pilot deciding land airport closed radio aid available . contributing factors intermittent overspeeding propellers , adverse weather communication tower .",3
flew hill shortly taking . engine failure due fatigue crack valve .,3
"taking , drifted right , overcorrected left struck two . pilot error . incorrect use brakes controls ground .",9
struck mountain,7
failed gain altitude take struck hill .,7
final approach . pilot failed take proper action counteract loss speed height final approach turn . lack pilot experience .,8
"involved midair collision making approach land . pilot cessna , over-taking , failed see avoid f-27 landing appoach . four died aboard cessna , none aboard fairchild .",3
mountain approach . crew error . decision pilot descending minimum ceiling prescribed .,1
explosion aboard . detonation hand-grenade brought aboard russian immigrant . explosion occurred captain tried disarm man .,1
"8,000 ft. . marra . navigation error crew using astrofix estimate position .",6
"storm . separation propeller followed disintegration . overspeeding no.3 propeller caused irregular operation propeller governor , detachment propeller impact no.4 engine , followed disintegration .",1
due structural failure flying extremely violent turbulence . insufficient preparation crew . inadequate arrangements secure carriage livestock . pilots failure familiarize prevailing weather conditions . found 11/21/61 .,3
"stalled reasons undetermined , altitude low effect recovery .",9
", 7.5 airport holding pattern waiting fog lift . cause could determined .",0
"failed maintain intended path face . gilbert 9,646 ft. taking cordova . crew 's failure use available navigational aids establishing 's position amber airway thereby allowing proceed course dangerous terrain . contributing factor accident failure air defense radar , tracking , notify either artcc crew proceeding dangerous course .",9
guanabara bay approach . cause undetermined .,1
"airship nose-first atlantiocean , 10 coast new jersey . failure seam due unknown factor degraded adhesive .",9
persian gulf . cause undetermined . wreckage never found .,7
burned . pichincha prepared land quito .,1
"loss power . 2 engine crew unable feather prop . emergency descent made ditched ocean . upon contact water , aft end fuselage broke free rear pressure bulkhead , right wing tore free engines separated . wing floated 3hrs , serving life raft passengers . remainder fuselage , sank 10 minutes impact . passengers rescued 6 hours accident . failure . 2 engine , resulting oil contamination , loss oil supply , subsequent loss . 2 propeller assembly fire-in-flight , necessitated ditching .",9
"onto mountainside 9,000 ft. pilot misjudged weather conditions continued fly deteriorating weather conditions trying maintain vfr . pilot attempted climb speed minimum safe climbing speed .",1
mountainous terrain north lake kivu experiencing engine failure .,7
"helicopter forest home cemetery . structural disintegration , initiated fatigue fracture main rotor blade .",3
"descending 5,000ft , crew lost no.1 engine . 1,500 ft. engine also lost . 3,300 ft. short runway . failure engines .",9
dc-3 hayti mountain .,7
in-flight fire aboard .,2
cashed casablanca experiencing engine fire .,0
"took , lost engine , banked left ocean . cause engine failure established likely reason appears defective fuel ignition system . reason possible maintain safe failure engine remains unknown .",3
"atlantiocean unsuccessful landing attempt . cause undetermined . possible structural failure loss control due turbulence , sensory illusion distraction crew could associated lightning strike .",3
"carrying american servicemen dependants . less minute taking , . barrigada bursting flames impact . casualties attributable effects fire crash . failure pilot comply published departure procedures initiating right turn attaining altitude 1,000 .",9
transmitting message . 3 engine fire diverting okinawa . fire . 3 engine extinguished residual fire continued tire ignited fuel tank resulting explosion .,8
"approach moscow , 11 nm short runway . malfunctioning misread altimeter .",9
slopes mountain dense fog .,0
tyrrhenian elba penetrating severe thunderstorm .,5
"seconds becoming airborne , struck flock starlings . number birds ingested engines . 1 , 2 , 4. engine . 1 shut propeller feathered . engines . 2 4 experienced substantial momentary loss power . abrupt intermittent loss recovery power resulted yawing left decelerating stall speed . speed decayed continued yaw skidding left turn , stall speed reached ; left wing dropped , nose pitched , rolled left spin fell almost vertically water . altitude less 150 precluded recovery .",9
hit . capanne . cause unknown .,7
"right wing separated 6,500 ft. fatigue right wing lower attach angle bolts resulting in-flight wing failure .",9
premature descent .,1
"mountains snow showers descending missoula . entered steep left banking turn nose raised apparent attempt turn climb intersecting valley , however , continued sink toward ground , rolled left inverted . failure pilot continue accordance ifr plan attempting vfr approach instrument weather conditions .",9
"taking toledo express airfield , landing 5,800 ft. beyond runway threshold . sixteen members california state polytechnicollege , san luis obispo football team killed . premature lift-off , partial loss power no.1 engine , overweight weather conditions cause crash .",2
mountain 20 south airport .,1
. baco . navigational error adverse weather conditions .,1
"no.2 engine failed . lost altitude , jungle burned . starboard engine failed feather reasons unknown .",3
domestiflight cashed burned heavy rain 100 's destination . pilot error . flying vfr adverse weather conditions .,1
la gotera hill approach santiago . official cause unknown . icing suspected . members green cross chilean soccer team killed .,1
"fort lamy , chad marseilles , france , airliner burned sahara desert algeria / libya border . detonation nitrocellulose bomb .",1
shortly taking mcchord air force base .,8
"midair collision took place staten island 5,000 ft. connie cleared land la guardia airport runway 04 united dc-8 struck connie tearing apart . connie immediately ground miller army air field staten island . one passenger sucked one dc8s jet engines . passengers fell connie spinning fuselage fell onto staten island . united jet tried make emergency landing la guardia airport could maintain altitude streets brooklyn . forty-four passengers constellation eight-four passengers dc-8 killed . three passengers dc-8 died shortly . one young boy , stephen baltz survived several days succumbing injuries . six people also killed ground . united crew entered low-altitude holding pattern per hour , twice speed going flew past clearance limits airspace allocated . one 2 vors dc-8 functioning . although crew knew , failed report atc , probably would provided extra radar assistance .",8
"lost engine takeoff munich . unable maintain height , st. paul 's cathedral church business section city killing 31 ground . collection water found fuel tank booster pump .",3
takeoff . failure . 1 engine shortly take-off v2 . inappropriate emergency procedures crew .,3
"unable gain altitude , power cables takeoff .",3
"woods attempting land . pilots tested positive alcohol . addition , pilot enough sleep night considered satisfactory mental physical condition undertake .",9
"aborted takeoff caused crash airport barrier fence burst flames . unnecessary discontinuance takeoff result actions check-pilot either pilot 's seat reached forward without warning pulling throttles back . action caused power decreased four engines . contributing factors marginally poor weather , snow runway possibility pitot head heat .",3
"returning aborted barrier mission , hit seawall end short runway . main landing geart sheared cartwheeled , slid vehicle , exploded burned .",9
struck . burangrang . attempt pilot fly mountainous terrain unsure position weather conditions severely restricted visibility .,7
exploded cashed atlantiocean approximately 25 northeast azores .,3
atlantiocean exploded .,0
disappeared . wreckage never found . believed island madura .,7
"touchdown runway engine power increased climbed 1,500 ft. completed 3 left-hand circles . attitude increased nosed . entire eighteen member u.s. figure skating team killed . failure 's flying controls , possibly jamming outboard ailerons unwanted extension spoilers .",9
. navigation error . failure crew follow prescribed . flying vfr ifr conditions .,1
attempting land .,8
13.6 northeast nürnberg intentional descent unknown reasons led disintegration due structural stress . possible defective artificial horizon . possible unnoticed control electrical rudder aileron trim . possible physical incapacitation one pilots .,1
"lost engine , stalled .",3
"five minutes taking lisbon , portugal , plunged atlantiocean . indications wreckage went spiral dive hit water mph . either inattentiveness loss artificial horizon instrument malfunction , went steep left bank recovery possible . attitude moment impact pointed correction .",9
"power lines approach , 4 km short runway . crew 's neglect cockpit duties .",0
"error judgement part captain , , sighting runway lights , concentrated keeping sight failed make adequate reference instruments . result , allowed descend obstacle clearance limit 360ft . darkness , ground reference , runway lights gave insufficient guidance height angle approach unaware descended ground level . fatigue captain failure illuminate 's landing lights conributing factors .",9
